retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
eternity fine jewelers,lab,oval,Excellent,Excellent,None,939.0,885.85,15.0,15.0,very good,E,VVS2,1.06,IGI,939.0,885.85
marlowe & co,lab,oval,Excellent,Excellent,None,932.0,879.25,15.0,15.0,very good,E,VVS2,1.06,IGI,932.0,879.25
michelle kennedy,lab,oval,Excellent,Excellent,None,958.0,903.77,14.0,15.0,very good,E,VVS2,1.06,IGI,958.0,903.77
rosella,lab,oval,Excellent,Excellent,None,895.0,844.34,15.0,15.0,very good,E,VVS2,1.06,IGI,895.0,844.34
taiga gems,lab,oval,Excellent,Excellent,None,926.0,873.58,15.0,15.0,very good,E,VVS2,1.06,IGI,926.0,873.58
temperley,lab,oval,Excellent,Excellent,None,915.0,863.21,15.0,15.0,very good,E,VVS2,1.06,IGI,915.0,863.21
thalassa gems,lab,oval,Very Good,Excellent,None,909.0,857.55,15.0,15.0,very good,E,VVS2,1.06,IGI,909.0,857.55
tierra mia diamonds,lab,oval,Excellent,Excellent,None,907.0,855.66,15.0,15.0,very good,E,VVS2,1.06,IGI,907.0,855.66
vega diamonds,lab,oval,Excellent,Excellent,None,896.62,845.87,15.0,15.0,very good,E,VVS2,1.06,IGI,896.62,845.87
white lily,lab,oval,Excellent,Excellent,None,947.0,893.4,14.0,15.0,very good,E,VVS2,1.06,IGI,947.0,893.4
clermont diamonds,lab,round,Excellent,Excellent,None,3336.0,1097.37,18.0,18.0,super ideal,H,VS2,3.04,IGI,3336.0,1097.37
jane brear,lab,round,Excellent,Excellent,None,3383.0,1112.83,18.0,18.0,super ideal,H,VS2,3.04,IGI,3383.0,1112.83
temperley,lab,round,Excellent,Excellent,None,3252.0,1069.74,18.0,18.0,super ideal,H,VS2,3.04,IGI,3252.0,1069.74
white lily,lab,round,Excellent,Excellent,None,3187.0,1048.36,18.0,18.0,super ideal,H,VS2,3.04,IGI,3187.0,1048.36
avignon diamonds,lab,cushion,Excellent,Excellent,None,2069.0,1379.33,14.0,15.0,very good,D,VVS2,1.5,IGI,2069.0,1379.33
bonsai gems,lab,cushion,Excellent,Excellent,None,2193.0,1462.0,14.0,15.0,very good,D,VVS2,1.5,IGI,2193.0,1462.0
equinox jewels,lab,cushion,Excellent,Excellent,None,2075.0,1383.33,15.0,15.0,very good,D,VVS2,1.5,IGI,2075.0,1383.33
eternal flame,lab,cushion,Excellent,Excellent,None,2101.0,1400.67,14.0,15.0,very good,D,VVS2,1.5,IGI,2101.0,1400.67
hill & holland,lab,cushion,Excellent,Excellent,None,2230.0,1486.67,14.0,15.0,very good,D,VVS2,1.5,IGI,2230.0,1486.67
jane brear,lab,cushion,Excellent,Excellent,None,2121.0,1414.0,15.0,15.0,very good,D,VVS2,1.5,IGI,2121.0,1414.0
joan cooper,lab,cushion,Excellent,Excellent,None,2090.0,1393.33,15.0,15.0,very good,D,VVS2,1.5,IGI,2090.0,1393.33
kenmare diamonds,lab,cushion,Excellent,Excellent,None,2126.32,1417.55,15.0,15.0,very good,D,VVS2,1.5,IGI,2126.32,1417.55
marlowe & co,lab,cushion,Excellent,Excellent,None,2153.0,1435.33,14.0,15.0,very good,D,VVS2,1.5,IGI,2153.0,1435.33
michelle kennedy,lab,cushion,Excellent,Very Good,None,2159.0,1439.33,15.0,15.0,very good,D,VVS2,1.5,IGI,2159.0,1439.33
olympus diamonds,lab,cushion,Excellent,Excellent,None,2093.0,1395.33,14.0,15.0,very good,D,VVS2,1.5,IGI,2093.0,1395.33
roma diamonds,lab,cushion,Excellent,Excellent,None,2093.0,1395.33,15.0,15.0,very good,D,VVS2,1.5,IGI,2093.0,1395.33
sara's diamonds,lab,cushion,Excellent,Excellent,None,2040.0,1360.0,14.0,15.0,very good,D,VVS2,1.5,IGI,2040.0,1360.0
starlight crafts,lab,cushion,Excellent,Excellent,None,2075.0,1383.33,15.0,15.0,very good,D,VVS2,1.5,IGI,2075.0,1383.33
taiga gems,lab,cushion,Excellent,Excellent,None,2094.0,1396.0,14.0,15.0,very good,D,VVS2,1.5,IGI,2094.0,1396.0
temperley,lab,cushion,Excellent,Excellent,None,2158.08,1438.72,14.0,15.0,very good,D,VVS2,1.5,IGI,2158.08,1438.72
united diam,lab,cushion,Excellent,Excellent,None,2040.0,1360.0,14.0,15.0,very good,D,VVS2,1.5,IGI,2040.0,1360.0
white lily,lab,cushion,Excellent,Excellent,None,2210.0,1473.33,14.0,15.0,very good,D,VVS2,1.5,IGI,2210.0,1473.33
bayside gems,lab,emerald,Excellent,Excellent,None,1311.0,868.21,15.0,15.0,super ideal,F,SI1,1.51,IGI,1311.0,868.21
hoseki,lab,emerald,Excellent,Excellent,None,1339.27,886.93,15.0,15.0,super ideal,F,SI1,1.51,IGI,1339.27,886.93
irene jewelry,lab,emerald,Very Good,Excellent,None,1318.38,873.1,15.0,15.0,super ideal,F,SI1,1.51,IGI,1318.38,873.1
jane brear,lab,emerald,Excellent,Excellent,None,1355.0,897.35,15.0,15.0,super ideal,F,SI1,1.51,IGI,1355.0,897.35
michelle kennedy,lab,emerald,Excellent,Excellent,None,1381.0,914.57,15.0,15.0,super ideal,F,SI1,1.51,IGI,1381.0,914.57
serene peaks diamonds,lab,emerald,Excellent,Excellent,None,1311.0,868.21,15.0,15.0,super ideal,F,SI1,1.51,IGI,1311.0,868.21
temperley,lab,emerald,Excellent,Excellent,None,1492.0,988.08,15.0,15.0,super ideal,F,SI1,1.51,IGI,1492.0,988.08
thalassa gems,lab,emerald,Very Good,Very Good,None,1311.0,868.21,15.0,15.0,super ideal,F,SI1,1.51,IGI,1311.0,868.21
vega diamonds,lab,emerald,Excellent,Excellent,None,1282.68,849.46,15.0,15.0,super ideal,F,SI1,1.51,IGI,1282.68,849.46
white lily,lab,emerald,Excellent,Excellent,None,1332.0,882.12,15.0,15.0,super ideal,F,SI1,1.51,IGI,1332.0,882.12
hoseki,lab,oval,Excellent,Excellent,None,346.0,494.29,15.0,15.0,very good,D,VS1,0.7,IGI,346.0,494.29
jane brear,lab,oval,Very Good,Good,None,346.0,494.29,14.0,15.0,very good,D,VS1,0.7,IGI,346.0,494.29
magnolia,lab,oval,Very Good,Very Good,None,319.0,455.71,14.0,15.0,very good,D,VS1,0.7,IGI,319.0,455.71
michelle kennedy,lab,oval,Very Good,Excellent,None,359.2,513.14,14.0,15.0,very good,D,VS1,0.7,IGI,359.2,513.14
rosella,lab,oval,Very Good,Very Good,None,313.0,447.14,15.0,15.0,very good,D,VS1,0.7,IGI,313.0,447.14
temperley,lab,oval,Very Good,Excellent,None,345.0,492.86,15.0,15.0,very good,D,VS1,0.7,IGI,345.0,492.86
vega diamonds,lab,oval,Excellent,Very Good,None,358.07,511.53,14.0,15.0,very good,D,VS1,0.7,IGI,358.07,511.53
albert's creations,lab,round,Excellent,Excellent,None,713.0,666.36,18.0,18.0,ideal,E,VS1,1.07,IGI,713.0,666.36
avignon diamonds,lab,round,Excellent,Excellent,None,730.0,682.24,18.0,18.0,ideal,E,VS1,1.07,IGI,730.0,682.24
camden gems,lab,round,Excellent,Excellent,None,700.0,654.21,18.0,18.0,ideal,E,VS1,1.07,IGI,700.0,654.21
diamonds by zoya,lab,round,Excellent,Excellent,None,689.0,643.93,18.0,18.0,ideal,E,VS1,1.07,IGI,689.0,643.93
eternity fine jewelers,lab,round,Excellent,Excellent,None,714.41,667.67,18.0,18.0,ideal,E,VS1,1.07,IGI,714.41,667.67
fabiola,lab,round,Excellent,Excellent,None,702.0,656.07,18.0,18.0,ideal,E,VS1,1.07,IGI,702.0,656.07
hazel diamonds,lab,round,Excellent,Excellent,None,697.0,651.4,18.0,18.0,ideal,E,VS1,1.07,IGI,697.0,651.4
hoseki,lab,round,Excellent,Excellent,None,713.0,666.36,18.0,18.0,ideal,E,VS1,1.07,IGI,713.0,666.36
i & m designs,lab,round,Excellent,Excellent,None,721.38,674.19,18.0,18.0,ideal,E,VS1,1.07,IGI,721.38,674.19
iris diamonds,lab,round,Excellent,Excellent,None,700.0,654.21,18.0,18.0,ideal,E,VS1,1.07,IGI,700.0,654.21
jane brear,lab,round,Excellent,Excellent,None,723.0,675.7,18.0,18.0,ideal,E,VS1,1.07,IGI,723.0,675.7
joan cooper,lab,round,Excellent,Excellent,None,714.0,667.29,18.0,18.0,ideal,E,VS1,1.07,IGI,714.0,667.29
marble arch,lab,round,Excellent,Excellent,None,707.0,660.75,18.0,18.0,ideal,E,VS1,1.07,IGI,707.0,660.75
marlowe & co,lab,round,Excellent,Excellent,None,722.0,674.77,18.0,18.0,ideal,E,VS1,1.07,IGI,722.0,674.77
meridian crafts,lab,round,Excellent,Excellent,None,705.0,658.88,18.0,18.0,ideal,E,VS1,1.07,IGI,705.0,658.88
michelle kennedy,lab,round,Excellent,Excellent,None,729.0,681.31,18.0,18.0,ideal,E,VS1,1.07,IGI,729.0,681.31
nebula stones,lab,round,Excellent,Excellent,None,719.0,671.96,18.0,18.0,ideal,E,VS1,1.07,IGI,719.0,671.96
riviera jewels,lab,round,Excellent,Excellent,None,702.0,656.07,18.0,18.0,ideal,E,VS1,1.07,IGI,702.0,656.07
rosella,lab,round,Excellent,Excellent,None,706.0,659.81,18.0,18.0,ideal,E,VS1,1.07,IGI,706.0,659.81
serenade diamonds,lab,round,Excellent,Excellent,None,704.0,657.94,18.0,18.0,ideal,E,VS1,1.07,IGI,704.0,657.94
starlight crafts,lab,round,Excellent,Excellent,None,697.0,651.4,18.0,18.0,ideal,E,VS1,1.07,IGI,697.0,651.4
taiga gems,lab,round,Excellent,Excellent,None,724.0,676.64,18.0,18.0,ideal,E,VS1,1.07,IGI,724.0,676.64
temperley,lab,round,Excellent,Excellent,None,729.0,681.31,18.0,18.0,ideal,E,VS1,1.07,IGI,729.0,681.31
thalassa gems,lab,round,Excellent,Excellent,None,704.0,657.94,18.0,18.0,ideal,E,VS1,1.07,IGI,704.0,657.94
vespera gems,lab,round,Excellent,Excellent,None,702.0,656.07,18.0,18.0,ideal,E,VS1,1.07,IGI,702.0,656.07
westport jewelry,lab,round,Excellent,Excellent,None,697.0,651.4,18.0,18.0,ideal,E,VS1,1.07,IGI,697.0,651.4
white lily,lab,round,Excellent,Excellent,None,729.0,681.31,18.0,18.0,ideal,E,VS1,1.07,IGI,729.0,681.31
bayside gems,lab,oval,Excellent,Excellent,None,808.94,749.02,15.0,15.0,super ideal,G,VVS2,1.08,IGI,808.94,749.02
cirrus gems,lab,oval,Excellent,Excellent,None,803.0,743.52,15.0,15.0,super ideal,G,VVS2,1.08,IGI,803.0,743.52
