retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
zenith gems,natural,round,Excellent,Excellent,None,6969.0,4496.13,18.0,18.0,ideal,H,SI2,1.55,GIA,6969.0,4496.13
alice designs jewelry,natural,round,Excellent,Excellent,None,526.0,1461.11,18.0,18.0,super ideal,E,SI2,0.36,GIA,526.0,1461.11
baroque diamonds,natural,round,Excellent,Excellent,None,551.0,1530.56,18.0,18.0,super ideal,E,SI2,0.36,GIA,551.0,1530.56
crown jewels,natural,round,Excellent,Excellent,None,495.0,1375.0,18.0,18.0,super ideal,E,SI2,0.36,GIA,495.0,1375.0
diamonds by marie,natural,round,Excellent,Excellent,None,486.0,1350.0,18.0,18.0,super ideal,E,SI2,0.36,GIA,486.0,1350.0
eclipse diamonds,natural,round,Excellent,Excellent,None,533.0,1480.56,18.0,18.0,super ideal,E,SI2,0.36,GIA,533.0,1480.56
h & co.,natural,round,Excellent,Excellent,None,548.0,1522.22,18.0,18.0,super ideal,E,SI2,0.36,GIA,548.0,1522.22
helene mitchell,natural,round,Excellent,Excellent,Faint,522.0,1450.0,18.0,18.0,super ideal,E,SI2,0.36,GIA,522.0,1450.0
henry wirth,natural,round,Excellent,Excellent,None,595.0,1652.78,18.0,18.0,super ideal,E,SI2,0.36,GIA,595.0,1652.78
j. perrera,natural,round,Excellent,Excellent,None,557.0,1547.22,18.0,18.0,super ideal,E,SI2,0.36,GIA,557.0,1547.22
jane brear,natural,round,Excellent,Excellent,None,859.0,2386.11,18.0,18.0,super ideal,E,SI2,0.36,GIA,859.0,2386.11
michelle kennedy,natural,round,Excellent,Excellent,Faint,815.0,2263.89,18.0,18.0,super ideal,E,SI2,0.36,GIA,815.0,2263.89
michelle's creations,natural,round,Excellent,Excellent,None,358.0,994.44,18.0,18.0,super ideal,E,SI2,0.36,GIA,358.0,994.44
temperley,natural,round,Excellent,Excellent,Faint,803.0,2230.56,18.0,18.0,super ideal,E,SI2,0.36,GIA,803.0,2230.56
vaari’s workshop,natural,round,Excellent,Excellent,Medium,341.0,947.22,18.0,18.0,super ideal,E,SI2,0.36,GIA,341.0,947.22
whisper diamonds,natural,round,Excellent,Excellent,Faint,495.0,1375.0,18.0,18.0,super ideal,E,SI2,0.36,GIA,495.0,1375.0
white lily,natural,round,Excellent,Excellent,None,803.0,2230.56,17.0,18.0,super ideal,E,SI2,0.36,GIA,803.0,2230.56
alice designs jewelry,natural,oval,Excellent,Excellent,Faint,10726.0,7150.67,13.0,15.0,good,D,SI1,1.5,GIA,10726.0,7150.67
alice designs jewelry,natural,oval,Excellent,Excellent,None,14146.0,9368.21,15.0,15.0,super ideal,G,VS1,1.51,GIA,14146.0,9368.21
brienne’s creations,natural,oval,Excellent,Very Good,Faint,12302.0,8147.02,15.0,15.0,super ideal,G,VS1,1.51,GIA,12302.0,8147.02
halo gems,natural,oval,Excellent,Very Good,None,11076.0,7335.1,15.0,15.0,super ideal,G,VS1,1.51,GIA,11076.0,7335.1
kiara gems,natural,oval,Excellent,Excellent,None,11653.0,7717.22,15.0,15.0,super ideal,G,VS1,1.51,GIA,11653.0,7717.22
mayfair creations,natural,oval,Excellent,Excellent,None,14856.0,9838.41,15.0,15.0,super ideal,G,VS1,1.51,GIA,14856.0,9838.41
michelle kennedy,natural,oval,Excellent,Excellent,Faint,17730.0,11741.72,15.0,15.0,super ideal,G,VS1,1.51,GIA,17730.0,11741.72
helene mitchell,natural,pear,Very Good,Excellent,Medium,1389.0,2315.0,15.0,15.0,very good,D,VVS2,0.6,GIA,1389.0,2315.0
jane brear,natural,pear,Very Good,Good,None,3251.0,5418.33,12.0,15.0,very good,D,VVS2,0.6,GIA,3251.0,5418.33
michelle kennedy,natural,pear,Good,Good,Faint,1987.0,3311.67,11.0,15.0,very good,D,VVS2,0.6,GIA,1987.0,3311.67
whisper diamonds,natural,pear,Very Good,Very Good,None,1723.0,2871.67,15.0,15.0,very good,D,VVS2,0.6,GIA,1723.0,2871.67
alice designs jewelry,natural,heart,Excellent,Excellent,None,2273.0,2525.56,14.0,15.0,ideal,F,SI2,0.9,GIA,2273.0,2525.56
carnaby facets,natural,heart,Excellent,Very Good,Faint,2411.0,2678.89,14.0,15.0,ideal,F,SI2,0.9,GIA,2411.0,2678.89
jane brear,natural,heart,Very Good,Very Good,Strong,3422.0,3802.22,13.0,15.0,ideal,F,SI2,0.9,GIA,3422.0,3802.22
michelle kennedy,natural,heart,Excellent,Excellent,Faint,3716.0,4128.89,14.0,15.0,ideal,F,SI2,0.9,GIA,3716.0,4128.89
rya diamonds,natural,heart,Excellent,Excellent,None,2250.0,2500.0,14.0,15.0,ideal,F,SI2,0.9,GIA,2250.0,2500.0
temperley,natural,heart,Very Good,Very Good,Faint,2934.0,3260.0,13.0,15.0,ideal,F,SI2,0.9,GIA,2934.0,3260.0
white lily,natural,heart,Excellent,Very Good,Faint,3106.0,3451.11,14.0,15.0,ideal,F,SI2,0.9,GIA,3106.0,3451.11
helene mitchell,natural,oval,Excellent,Excellent,Medium,1478.0,2737.04,15.0,15.0,ideal,F,VVS1,0.54,GIA,1478.0,2737.04
alice designs jewelry,natural,round,Excellent,Excellent,Faint,645.0,1612.5,18.0,18.0,super ideal,J,SI2,0.4,GIA,645.0,1612.5
diamonds by marie,natural,round,Excellent,Excellent,Faint,378.0,945.0,18.0,18.0,super ideal,J,SI2,0.4,GIA,378.0,945.0
francesca,natural,round,Excellent,Excellent,Medium,626.0,1565.0,18.0,18.0,super ideal,J,SI2,0.4,GIA,626.0,1565.0
helene mitchell,natural,round,Excellent,Excellent,None,436.0,1090.0,18.0,18.0,super ideal,J,SI2,0.4,GIA,436.0,1090.0
jane brear,natural,round,Excellent,Excellent,None,829.0,2072.5,18.0,18.0,super ideal,J,SI2,0.4,GIA,829.0,2072.5
liliane hans,natural,round,Excellent,Excellent,None,350.0,875.0,18.0,18.0,super ideal,J,SI2,0.4,GIA,350.0,875.0
luna diamonds,natural,round,Excellent,Excellent,Faint,533.0,1332.5,18.0,18.0,super ideal,J,SI2,0.4,GIA,533.0,1332.5
michelle kennedy,natural,round,Excellent,Excellent,Faint,901.0,2252.5,18.0,18.0,super ideal,J,SI2,0.4,GIA,901.0,2252.5
michelle's creations,natural,round,Excellent,Excellent,None,470.0,1175.0,18.0,18.0,super ideal,J,SI2,0.4,GIA,470.0,1175.0
temperley,natural,round,Very Good,Excellent,Faint,874.0,2185.0,18.0,18.0,super ideal,J,SI2,0.4,GIA,874.0,2185.0
whisper diamonds,natural,round,Excellent,Excellent,None,445.0,1112.5,18.0,18.0,super ideal,J,SI2,0.4,GIA,445.0,1112.5
white lily,natural,round,Very Good,Very Good,Medium,829.0,2072.5,18.0,18.0,super ideal,J,SI2,0.4,GIA,829.0,2072.5
aurora light,natural,princess,Very Good,Good,None,2770.0,3077.78,13.0,15.0,very good,G,SI2,0.9,GIA,2770.0,3077.78
jane brear,natural,princess,Excellent,Good,None,1773.0,1970.0,13.0,15.0,very good,G,SI2,0.9,GIA,1773.0,1970.0
temperley,natural,princess,Excellent,Very Good,None,2360.0,2622.22,13.0,15.0,very good,G,SI2,0.9,GIA,2360.0,2622.22
white lily,natural,princess,Excellent,Good,None,3762.0,4180.0,11.0,15.0,very good,G,SI2,0.9,GIA,3762.0,4180.0
crown jewels,natural,round,Excellent,Excellent,None,373.0,1434.62,18.0,18.0,super ideal,H,VVS2,0.26,GIA,373.0,1434.62
eccles diamonds,natural,round,Excellent,Excellent,Faint,353.0,1357.69,18.0,18.0,super ideal,H,VVS2,0.26,GIA,353.0,1357.69
isabel ervin,natural,round,Excellent,Excellent,None,587.0,2257.69,18.0,18.0,super ideal,H,VVS2,0.26,GIA,587.0,2257.69
jane brear,natural,round,Excellent,Excellent,None,697.0,2680.77,18.0,18.0,super ideal,H,VVS2,0.26,GIA,697.0,2680.77
michelle kennedy,natural,round,Excellent,Excellent,None,1306.0,5023.08,18.0,18.0,super ideal,H,VVS2,0.26,GIA,1306.0,5023.08
michelle's creations,natural,round,Excellent,Excellent,Faint,362.0,1392.31,18.0,18.0,super ideal,H,VVS2,0.26,GIA,362.0,1392.31
