cut,color,clarity,carat,report,shape,price
Ideal,E,VS2,0.71,GIA,Emerald,2310.0
Very Good,F,VS2,0.5,GIA,Round,1857.29
Ideal,H,SI1,0.58,GIA,Round,1670.0
Super Ideal,H,VS1,1.15,GIA,Round,6805.0
Super Ideal,D,VVS2,0.51,GIA,Pear,1880.0
Super Ideal,G,VVS2,1.5,GIA,Emerald,11410.0
Ideal,H,SI1,1.5,GIA,Oval,10200.0
Super Ideal,H,VS1,0.65,GIA,Oval,2030.0
Very Good,F,SI2,0.96,GIA,Round,3443.33
Very Good,D,SI2,0.38,GIA,Oval,800.0
Ideal,G,VS1,0.55,IGI,Round,2100.0
Good,J,VVS2,0.41,GIA,Princess,770.0
Super Ideal,F,VVS1,1.51,GIA,Round,16500.0
Super Ideal,D,SI2,0.81,GIA,Round,3164.0
Ideal,H,VVS2,1.51,GIA,Asscher,8380.0
Very Good,I,VS1,2.01,GIA,Asscher,12720.0
Ideal,H,VVS2,0.7,GIA,Round,2883.0
Ideal,D,VS2,0.51,GIA,Round,1820.0
Very Good,I,VVS2,0.32,IGI,Round,750.0
Super Ideal,F,SI1,1.43,GIA,Round,11010.0
Super Ideal,J,SI1,1.53,GIA,Round,7620.0
Ideal,J,SI1,1.02,GIA,Round,3890.0
Ideal,F,SI1,0.45,GIA,Emerald,785.0
Super Ideal,I,SI1,1.51,GIA,Pear,7840.0
Ideal,H,VVS2,0.47,GIA,Princess,1180.0
Very Good,G,VS2,0.35,GIA,Princess,570.0
Super Ideal,F,VVS2,0.33,GIA,Round,965.71
Good,E,VS2,0.5,GIA,Round,1690.91
Super Ideal,G,VVS2,0.46,GIA,Round,1505.56
Super Ideal,D,SI1,0.26,GIA,Round,520.0
Very Good,D,SI1,0.32,GIA,Pear,570.0
Super Ideal,H,IF,0.71,GIA,Oval,2630.0
Very Good,I,VVS1,0.5,GIA,Marquise,1070.0
Super Ideal,F,VS1,0.36,GIA,Round,995.56
Super Ideal,G,VS2,0.52,GIA,Princess,1340.0
Super Ideal,J,VS2,0.56,GIA,Round,1363.33
Good,D,VS2,0.54,GIA,Oval,1520.0
Ideal,E,SI2,0.65,GIA,Oval,1740.0
Very Good,H,VS1,1.21,GIA,Round,7310.0
Good,D,SI2,1.5,GIA,Oval,8590.0
Super Ideal,D,IF,0.32,GIA,Round,1376.33
Ideal,G,SI2,2.0,IGI,Round,12050.0
Very Good,I,SI1,0.46,GIA,Round,930.0
Ideal,J,VS1,0.4,GIA,Princess,810.0
Ideal,G,SI1,0.32,GIA,Emerald,520.0
Super Ideal,J,IF,0.46,GIA,Round,1190.0
Super Ideal,D,VS2,0.4,GIA,Round,1320.47
Ideal,D,SI1,0.5,GIA,Emerald,1013.33
Super Ideal,E,VVS1,1.22,GIA,Round,12120.0
Good,D,IF,0.4,GIA,Pear,1540.0
Ideal,E,VS1,0.32,GIA,Princess,603.75
