cut,color,clarity,carat,report,shape,price
Super Ideal,I,VVS2,2.02,IGI,Round,5380.0
Very Good,J,VS1,0.77,IGI,Emerald,760.0
Super Ideal,F,SI1,1.01,IGI,Emerald,1680.0
Ideal,G,SI2,2.0,IGI,Round,4505.0
Ideal,J,SI2,2.34,IGI,Round,3870.0
Super Ideal,D,VVS2,0.54,IGI,Oval,880.0
Super Ideal,H,VVS1,0.74,IGI,Princess,1180.0
Very Good,D,VVS1,0.43,IGI,Round,640.0
Good,I,VS1,0.39,IGI,Radiant,370.0
Ideal,J,VS1,2.81,GCAL,Cushion,6530.0
Super Ideal,I,VVS1,1.05,IGI,Round,1970.0
Super Ideal,J,VS2,2.08,IGI,Oval,4245.0
Super Ideal,G,VS2,1.53,IGI,Cushion,4530.0
Very Good,J,VS2,1.0,IGI,Princess,1150.0
Super Ideal,D,VS1,0.92,IGI,Princess,2110.0
Super Ideal,D,VS2,0.51,IGI,Pear,710.0
Very Good,H,VS1,0.46,IGI,Marquise,460.0
Ideal,J,VS2,1.06,IGI,Princess,1560.0
Super Ideal,H,SI2,1.01,IGI,Round,1290.0
Very Good,D,SI1,0.58,IGI,Round,780.0
Ideal,G,VS1,2.04,GCAL,Cushion,6510.0
Super Ideal,H,SI2,1.7,IGI,Round,3025.0
Very Good,E,VS2,1.51,IGI,Radiant,4400.0
Super Ideal,F,VS2,1.03,GCAL,Radiant,2020.0
Super Ideal,G,VS1,1.31,IGI,Oval,2920.0
Ideal,J,VS1,1.37,IGI,Round,1950.0
Super Ideal,I,SI1,1.02,IGI,Pear,1310.0
Ideal,I,SI2,1.72,IGI,Round,2810.0
Super Ideal,D,VVS2,2.04,GCAL,Round,11570.0
Ideal,F,SI2,2.0,GCAL,Marquise,6100.0
Super Ideal,J,VS2,2.35,GCAL,Round,4660.0
Ideal,H,VS2,2.53,IGI,Pear,6840.0
Ideal,G,SI1,0.81,IGI,Princess,1160.0
Ideal,H,SI2,1.05,IGI,Round,1540.0
Very Good,G,VVS1,0.31,IGI,Oval,320.0
Ideal,H,VVS2,1.25,IGI,Round,2496.67
Very Good,G,VS2,1.63,GCAL,Oval,4275.0
Super Ideal,I,SI1,1.6,GCAL,Round,2770.0
Ideal,G,VS1,1.01,IGI,Pear,2064.29
Ideal,J,VS1,2.19,IGI,Oval,4550.0
Very Good,G,SI1,0.38,IGI,Pear,360.0
Super Ideal,F,SI1,0.35,IGI,Round,382.5
Ideal,I,SI1,0.52,IGI,Pear,500.0
Very Good,J,VS2,2.02,GCAL,Round,3610.0
Ideal,E,VS1,1.18,GCAL,Princess,2720.0
Ideal,E,SI1,0.71,IGI,Oval,982.86
Very Good,G,SI2,0.7,IGI,Radiant,770.0
Ideal,G,VS2,2.02,IGI,Oval,6260.0
Very Good,D,VS2,0.7,IGI,Heart,1240.0
Ideal,F,VS1,1.18,GCAL,Round,2870.0
Ideal,G,SI1,1.5,GCAL,Cushion,6110.0
Very Good,H,VS1,0.73,IGI,Oval,960.0
Ideal,G,VVS2,0.83,IGI,Pear,1280.0
Ideal,F,VS1,1.2,IGI,Princess,2600.0
Ideal,G,VS1,1.11,GCAL,Round,2336.67
Ideal,I,VS1,1.56,IGI,Round,2995.0
Very Good,D,VS2,0.71,GCAL,Cushion,1250.0
